,0,1,2,3,4,5,6,7,8
0,AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
1,ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
2,ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
3,ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
4,ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
5,ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
6,AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
7,AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
8,APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
9,ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
10,ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
11,BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
12,CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
13,CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
14,CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
15,CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
16,CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
17,CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
18,CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
19,CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
20,CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
21,CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
22,CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
23,CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
24,CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
25,CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
26,CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
27,DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
28,DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
29,DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
30,DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
31,DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
32,DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
33,EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
34,EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
35,EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
36,ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
37,FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
38,FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
39,G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
40,G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
41,G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
42,GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
43,GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
44,GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
45,GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
46,GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
